url,family,sources,intended_indexable,status,final_path,final_status,redirect_hops,in_sitemap,robots,canonical,canonical_is_self,title,title_length,description,description_length,h1_count,h1,h2_count,main_words,prerendered,images,images_missing_alt,images_missing_dimensions,schema_types,schema_errors,inbound_links,outbound_links
/,home,registry:home sitemap redirect-target internal-link canonical-target served-file,true,200,/,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/,true,Compare Electricity Rates in 12 States | Electric Scouts,56,Compare electricity plans across the 12 US states where you choose your supplier. Enter a ZIP code or upload a bill to see what you pay and what is available.,158,1,Compare Electricity Rates Across 12 Deregulated States,8,1143,true,0,0,0,Organization WebSite,,345,54
/404.html,static,served-file,false,200,/404.html,200,0,false,"noindex, follow",,,Page Not Found | Electric Scouts,32,"The page you are looking for does not exist. Browse electricity rates by state, city or provider instead.",105,1,Page Not Found,0,21,true,0,0,0,Organization WebSite BreadcrumbList,,0,32
/about-us,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/about-us,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/about-us,true,About Electric Scouts | Who We Are & Why We Built This,54,"Electric Scouts is an independent electricity comparison service covering 12 deregulated states. What we track, what we do not do, and how we make money.",153,1,About Electric Scouts,8,1444,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,37
/aboutus,redirect,redirect-source,false,301,/about-us,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/about-us,false,About Electric Scouts | Who We Are & Why We Built This,54,"Electric Scouts is an independent electricity comparison service covering 12 deregulated states. What we track, what we do not do, and how we make money.",153,1,About Electric Scouts,8,1444,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/AboutUs,redirect,redirect-source,false,301,/about-us,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/about-us,false,About Electric Scouts | Who We Are & Why We Built This,54,"Electric Scouts is an independent electricity comparison service covering 12 deregulated states. What we track, what we do not do, and how we make money.",153,1,About Electric Scouts,8,1444,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,0,0
/admin,rewrite,rewrite-source,false,200,/admin,200,0,false,"noindex, follow",,,Electric Scouts,15,,0,0,,0,0,false,0,0,0,,,0,0
/all-cities,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/all-cities,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-cities,true,Electricity Rates by City | Electric Scouts,43,"Local electricity rates, utilities and coverage for every city we publish, from Houston and Dallas to Chicago, Philadelphia and New York.",137,1,Electricity Rates by City,13,675,true,0,0,0,Organization WebSite BreadcrumbList,,345,178
/all-providers,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/all-providers,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-providers,true,Electricity Supplier Directory | Electric Scouts,48,"Browse every electricity supplier we track across 12 deregulated states, with the plans they offer, the states they cover and their contract terms.",147,1,Electricity Providers Directory,10,1628,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,119
/all-states,static,registry:static sitemap redirect-target internal-link canonical-target served-file,true,200,/all-states,200,0,true,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-states,true,Deregulated Electricity States | Electric Scouts,48,"Compare electricity markets in the 12 US states where households choose their own supplier — plans tracked, suppliers and rate ranges for each market.",150,1,Electricity Rates by State,7,1372,true,0,0,0,Organization WebSite BreadcrumbList FAQPage,,345,47
/allcities,redirect,redirect-source,false,301,/all-cities,200,1,false,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://www.electricscouts.com/all-cities,false,Electricity Rates by City | Electric Scouts,43,"Local electricity rates, utilities and coverage for every city we publish, from Houston and Dallas to Chicago, Philadelphia and New York.",137,1,Electricity Rates by City,13,675,true,0,0,0,Organization WebSite BreadcrumbList,,0,0
